StudentID,Gender,BirthYear,Major,GPA,CreditsCompleted,PartTime,Scholarship,Dropout
93,Male,1998,ENV,2.881615,93,Yes,No,1
94,Male,1985,EDUC,2.881615,59,Yes,No,1
95,Male,1980,SCI,2.881615,117,No,No,0
96,Female,2005,FCAT,2.8145,4,Yes,No,0
97,Male,2006,EDUC,2.92275,32,Yes,No,0
98,Male,2006,ARTS,2.8578,82,Yes,Yes,0
99,Male,2005,BUS,2.92275,54,Yes,No,0
100,Male,2005,ARTS,2.48975,18,Yes,No,1
101,Male,2003,BUS,2.8145,16,Yes,No,1
102,Male,2004,APSC,2.881615,87,Yes,No,0
103,Male,1988,SCI,2.8145,118,No,No,1
104,Male,1981,BUS,2.881615,116,Yes,No,0
105,Male,2005,EDUC,2.66295,91,Yes,No,1
106,Male,2004,ARTS,2.8145,41,Yes,No,0
107,Male,2005,SCI,2.6413,100,Yes,No,1
108,Male,2004,BUS,2.44645,21,Yes,No,1
109,Male,2004,ARTS,2.40315,38,Yes,No,1
110,Male,2004,EDUC,2.881615,79,Yes,No,0
111,Male,2006,SCI,3.0743,98,Yes,No,0
112,Male,2006,APSC,2.66295,26,Yes,Yes,0
113,Male,2005,BUS,2.83615,75,Yes,No,0
114,Male,2006,EDUC,3.4207,45,Yes,No,0
115,Male,2006,ARTS,2.6413,27,Yes,No,1
116,Male,2004,ARTS,2.8145,51,Yes,No,0
117,Male,2004,SCI,3.3341,64,Yes,Yes,0
118,Male,2004,APSC,2.598,38,Yes,No,0
119,Male,2006,BUS,3.031,17,Yes,No,0
120,Male,2006,APSC,2.74955,86,Yes,No,0
121,Male,2003,HSCI,2.881615,21,Yes,No,1
122,Male,2005,APSC,2.598,67,Yes,No,0
123,Male,2005,APSC,2.96605,111,Yes,No,1
124,Male,2005,FCAT,2.83615,10,Yes,Yes,0
125,Male,2005,BUS,2.8145,81,Yes,No,0
126,Male,2005,HSCI,2.6413,63,Yes,No,1
127,Male,2004,BUS,3.464,118,Yes,No,0
128,Male,2006,EDUC,3.1609,111,Yes,Yes,0
129,Male,2006,SCI,2.83615,70,Yes,No,0
130,Male,2005,ARTS,2.8578,84,Yes,No,0
131,Male,2006,ARTS,2.9877,56,Yes,Yes,1
132,Male,2006,ARTS,2.8145,34,Yes,No,0
133,Male,2005,APSC,2.7279,36,Yes,No,0
134,Male,2005,ARTS,3.2042,49,Yes,No,1
135,Male,2004,SCI,2.8145,29,Yes,No,0
136,Male,2005,FCAT,2.53305,16,Yes,Yes,1
137,Male,2004,FCAT,2.598,32,Yes,No,0
138,Male,2006,EDUC,3.31245,15,Yes,Yes,0
139,Male,2004,ARTS,2.53305,14,Yes,Yes,0
140,Male,2006,ARTS,3.8537,12,Yes,No,0
141,Male,2005,ARTS,2.79285,102,Yes,No,0
142,Male,2005,EDUC,2.5114,2,Yes,Yes,0
143,Male,2002,APSC,2.14335,23,Yes,No,0
144,Male,2005,SCI,2.92275,22,Yes,Yes,0
145,Male,2005,ARTS,3.05265,58,Yes,Yes,0
146,Male,2005,EDUC,2.8578,108,Yes,Yes,0
147,Male,2005,HSCI,2.8578,111,Yes,No,1
148,Male,2004,HSCI,2.44645,54,Yes,No,1
149,Male,2006,APSC,2.9011,64,Yes,No,0
150,Male,2004,ARTS,2.9444,31,Yes,Yes,0
151,Male,2006,APSC,2.9444,96,Yes,No,0
152,Male,2005,BUS,2.79285,59,Yes,No,0
153,Male,2006,EDUC,2.9877,111,Yes,No,0
154,Male,2006,EDUC,2.96605,29,Yes,No,0
155,Male,2003,EDUC,2.48975,65,Yes,No,1
156,Male,2005,EDUC,2.79285,17,Yes,No,1
157,Male,2006,APSC,2.83615,58,Yes,Yes,0
158,Male,2006,SCI,2.87945,52,Yes,Yes,0
159,Male,2004,SCI,2.70625,63,Yes,No,0
160,Male,2000,SCI,2.598,118,No,Yes,0
161,Male,2005,FCAT,2.7712,29,Yes,No,1
162,Male,2006,ARTS,2.74955,17,Yes,Yes,0
163,Male,2006,ARTS,2.9011,4,Yes,No,0
164,Male,2003,EDUC,2.8578,68,Yes,No,1
165,Male,2005,FCAT,2.6846,7,Yes,No,0
166,Male,2005,EDUC,2.881615,8,Yes,Yes,0
167,Male,1977,BUS,3.6805,31,Yes,No,0
168,Male,2005,SCI,2.70625,119,Yes,No,0
169,Male,1995,ARTS,2.8145,13,Yes,No,0
170,Male,2003,SCI,2.70625,12,Yes,No,1
171,Male,1996,BUS,2.8145,17,Yes,No,0
172,Male,2004,HSCI,2.881615,67,Yes,No,0
173,Male,2005,ARTS,2.83615,113,Yes,No,0
174,Male,1998,SCI,3.2475,21,No,No,0
175,Male,2004,HSCI,2.70625,19,Yes,No,1
176,Male,2006,FCAT,2.83615,14,Yes,Yes,0
177,Male,1997,EDUC,2.8145,6,Yes,No,0
178,Male,2004,ARTS,2.66295,76,Yes,No,1
179,Male,2006,EDUC,3.05265,97,Yes,No,1
180,Male,1991,ARTS,3.031,104,Yes,No,1
181,Male,1989,EDUC,3.031,29,Yes,No,0
182,Male,1998,ENV,3.031,4,No,Yes,0
183,Male,1997,EDUC,2.881615,0,Yes,No,1
184,Male,2005,ARTS,2.83615,59,Yes,No,1
185,Male,2004,HSCI,3.09595,30,Yes,No,1
186,Male,2004,APSC,2.8578,114,Yes,No,1
187,Male,2003,SCI,3.09595,19,Yes,No,0
188,Male,2006,ARTS,3.05265,82,Yes,Yes,0
189,Male,2000,BUS,2.881615,63,Yes,No,1
190,Male,2004,ARTS,3.2042,117,Yes,No,0
191,Male,2003,HSCI,2.70625,63,Yes,Yes,0
192,Male,2001,SCI,2.598,28,No,No,0
193,Male,2000,APSC,3.031,108,Yes,No,1
194,Male,2003,EDUC,3.00935,101,Yes,No,1
195,Male,2006,ARTS,3.0743,9,Yes,No,0
196,Male,1997,ENV,2.8145,28,No,No,1
197,Male,2006,ARTS,2.7279,30,Yes,No,0
198,Male,1989,FCAT,3.2475,74,Yes,No,1
199,Male,2006,EDUC,2.8145,86,Yes,No,0
200,Male,1989,ARTS,2.598,29,Yes,No,0
201,Male,2005,BUS,2.9877,24,Yes,No,0
202,Male,2004,SCI,2.74955,79,Yes,No,0
203,Male,2006,ARTS,3.031,57,Yes,No,0
204,Male,2003,SCI,2.8145,56,Yes,No,0
205,Male,2006,SCI,2.7712,86,Yes,Yes,0
206,Male,2006,SCI,2.8578,62,Yes,No,0
207,Male,2006,ARTS,3.22585,96,Yes,No,0
208,Male,2006,EDUC,3.35575,114,Yes,Yes,0
209,Male,2005,BUS,2.598,36,Yes,No,0
210,Male,1988,HSCI,2.881615,57,Yes,Yes,1
211,Male,2006,ARTS,2.83615,27,Yes,Yes,0
212,Male,2006,ARTS,3.22585,26,Yes,Yes,0
213,Male,2004,ENV,3.031,69,Yes,Yes,0
214,Male,1998,ENV,2.881615,101,No,Yes,1
215,Male,2003,EDUC,2.6413,36,Yes,No,0
216,Male,1999,HSCI,2.8145,5,Yes,No,0
217,Male,2005,APSC,2.61965,88,Yes,Yes,0
218,Male,2000,SCI,2.598,76,No,No,1
219,Male,1997,SCI,2.881615,61,No,Yes,1
220,Male,2003,BUS,2.61965,96,Yes,No,1
221,Male,2006,APSC,2.87945,32,Yes,Yes,0
222,Male,2005,EDUC,2.9011,88,Yes,Yes,0
223,Male,2006,HSCI,2.48975,77,Yes,No,1
224,Male,2005,ARTS,2.74955,39,Yes,Yes,0
225,Male,2005,ARTS,2.92275,40,Yes,Yes,0
226,Male,1991,ENV,3.031,118,No,No,0
227,Male,1979,APSC,2.8145,41,Yes,No,0
228,Male,2004,SCI,2.92275,101,Yes,Yes,0
229,Male,1996,FCAT,3.031,8,Yes,No,1
230,Male,2005,ARTS,2.598,17,Yes,Yes,0
231,Male,2006,HSCI,3.031,14,Yes,No,0
232,Male,1986,HSCI,2.881615,3,Yes,No,1
233,Male,2005,FCAT,2.92275,33,Yes,No,0
234,Male,2003,HSCI,2.66295,61,Yes,Yes,0
235,Male,2003,APSC,2.881615,37,Yes,No,1
236,Male,2002,SCI,3.3341,80,Yes,Yes,0
237,Male,2006,EDUC,3.2042,70,Yes,Yes,0
238,Male,2006,SCI,2.87945,95,Yes,Yes,0
239,Male,1999,ENV,2.7279,118,Yes,No,1
240,Male,2000,BUS,2.881615,22,Yes,No,1
241,Male,2005,ARTS,2.70625,19,Yes,No,0
242,Male,2000,APSC,3.13925,110,Yes,No,0
243,Male,2004,APSC,2.5547,55,Yes,Yes,0
244,Male,1999,APSC,2.598,52,Yes,No,1
245,Male,2004,APSC,2.74955,1,Yes,Yes,0
246,Male,2001,ARTS,2.8145,20,Yes,No,0
247,Male,2005,ARTS,2.79285,75,Yes,Yes,0
248,Male,1995,BUS,2.8145,41,Yes,No,1
249,Male,2003,HSCI,2.61965,56,Yes,No,0
250,Male,2006,FCAT,2.9444,48,Yes,Yes,0
251,Male,2005,ARTS,2.70625,90,Yes,No,0
252,Male,2006,EDUC,2.83615,113,Yes,Yes,1
253,Male,2005,BUS,2.6413,111,Yes,No,0
254,Male,2006,EDUC,2.74955,9,Yes,No,0
255,Male,2006,APSC,2.9444,71,Yes,No,0
256,Male,1987,HSCI,2.881615,60,Yes,Yes,1
257,Male,1995,ENV,2.74955,20,No,No,0
258,Male,2006,ARTS,2.5114,59,Yes,No,0
259,Male,2005,SCI,2.61965,85,Yes,Yes,0
260,Male,2002,SCI,2.6846,12,Yes,No,1
261,Male,2004,HSCI,2.83615,47,Yes,Yes,0
262,Male,1990,SCI,2.165,39,No,No,1
263,Male,1994,FCAT,2.8145,62,Yes,No,1
264,Male,2006,SCI,2.92275,75,Yes,No,0
265,Male,2006,SCI,2.8145,80,Yes,No,0
266,Male,2006,EDUC,3.1609,111,Yes,No,0
267,Male,2006,ARTS,3.1609,8,Yes,No,0
268,Male,2005,EDUC,3.3341,56,Yes,Yes,0
269,Male,2005,ARTS,2.96605,50,Yes,Yes,0
270,Male,2006,ARTS,3.26915,112,Yes,Yes,0
271,Male,2003,BUS,3.2475,119,Yes,Yes,0
272,Male,2004,APSC,2.61965,39,Yes,No,1
273,Male,2004,APSC,2.6413,75,Yes,No,0
274,Male,2005,ARTS,3.09595,72,Yes,No,0
275,Male,2004,SCI,3.2908,63,Yes,No,0
276,Male,2006,ARTS,3.13925,93,Yes,No,0
277,Male,2004,EDUC,2.598,69,Yes,No,1
278,Male,1995,ENV,3.031,63,Yes,No,1
279,Male,2006,ARTS,3.09595,24,Yes,Yes,0
280,Male,2004,ARTS,2.79285,27,Yes,Yes,0
281,Male,2002,APSC,3.00935,9,Yes,Yes,0
282,Male,1977,SCI,2.881615,104,No,Yes,0
283,Male,1993,ENV,2.74955,27,No,No,0
284,Male,2003,ARTS,2.7279,92,Yes,Yes,0
285,Male,2003,SCI,2.7712,35,No,No,0
286,Male,2000,EDUC,2.165,10,Yes,No,0
287,Male,2006,ARTS,2.66295,20,Yes,No,0
288,Male,1992,SCI,3.6805,117,No,No,0
289,Male,2005,SCI,2.53305,101,No,Yes,0
290,Male,2000,ARTS,3.031,25,Yes,No,0
291,Male,2005,BUS,2.66295,17,Yes,No,0
292,Male,2005,BUS,3.2475,67,Yes,Yes,0
293,Male,2000,BUS,3.031,107,Yes,No,0
294,Male,2006,SCI,2.66295,40,Yes,Yes,0
295,Male,2005,ARTS,2.8145,14,Yes,Yes,1
296,Male,2005,ARTS,2.96605,22,Yes,Yes,0
297,Male,2006,EDUC,2.7279,40,Yes,Yes,0
298,Male,2006,SCI,2.70625,5,Yes,No,0
299,Male,2004,HSCI,2.4248,106,Yes,No,0
300,Male,2006,ARTS,3.05265,70,Yes,No,0
301,Male,2006,FCAT,2.92275,109,Yes,No,0
302,Male,2003,BUS,2.53305,59,Yes,Yes,0
303,Male,2006,ARTS,3.464,111,Yes,Yes,0
304,Male,2006,FCAT,2.9444,78,Yes,No,1
305,Male,2005,SCI,3.09595,51,Yes,No,1
306,Male,2005,FCAT,2.57635,8,Yes,No,0
307,Male,2006,FCAT,2.598,114,Yes,No,0
308,Male,1990,ENV,3.2475,29,Yes,No,1
309,Male,2005,BUS,3.0743,43,Yes,No,0
310,Male,2005,ENV,2.598,61,Yes,No,1
311,Male,1998,SCI,3.464,42,Yes,No,0
312,Male,2003,EDUC,2.881615,27,Yes,No,1
313,Male,2006,APSC,3.0743,93,Yes,Yes,0
314,Male,2004,EDUC,2.61965,7,Yes,Yes,0
315,Male,1999,APSC,2.92275,98,Yes,No,1
316,Male,2006,APSC,3.31245,50,Yes,No,0
317,Male,2006,ARTS,3.031,98,Yes,Yes,0
318,Male,2005,ARTS,3.2908,89,Yes,No,0
319,Male,2006,SCI,2.598,29,Yes,Yes,0
320,Male,2004,ARTS,3.464,98,Yes,No,0
321,Male,1998,BUS,3.2475,101,Yes,No,1
322,Male,2005,ARTS,2.165,10,Yes,Yes,0
323,Male,2005,ARTS,3.2475,19,Yes,No,0
324,Male,2005,APSC,2.6846,109,Yes,No,0
325,Male,2005,BUS,3.05265,30,Yes,No,0
326,Male,2006,HSCI,2.61965,33,Yes,No,0
327,Male,2005,ARTS,2.9011,11,Yes,No,0
328,Male,2006,SCI,2.9011,47,Yes,No,0
329,Male,2006,EDUC,2.8578,27,Yes,No,0
330,Male,2006,BUS,2.92275,66,Yes,No,0
331,Male,2006,EDUC,2.66295,116,Yes,No,0
332,Male,1998,FCAT,3.26915,62,Yes,No,1
333,Male,2004,SCI,2.31655,47,Yes,No,0
334,Male,2005,SCI,2.7279,41,No,No,0
335,Male,2006,SCI,2.87945,51,Yes,Yes,0
336,Male,2005,SCI,3.031,4,Yes,No,0
337,Male,1984,EDUC,2.3815,76,Yes,No,0
338,Male,2006,ARTS,3.05265,11,Yes,Yes,0
339,Male,2005,SCI,2.6413,58,Yes,No,0
340,Male,2006,ENV,3.3774,64,Yes,No,0
341,Male,2005,BUS,2.79285,51,Yes,No,0
342,Male,2006,APSC,4.0702,42,Yes,No,1
343,Male,1991,SCI,2.598,82,No,No,0
344,Male,1989,BUS,2.8145,92,Yes,No,0
345,Male,1998,APSC,2.8145,62,Yes,No,0
346,Male,2006,EDUC,3.031,110,Yes,No,0
347,Male,1988,SCI,2.3815,49,Yes,No,0
348,Male,1985,ENV,2.881615,111,No,No,0
349,Male,1980,SCI,2.598,38,Yes,No,0
350,Male,2004,SCI,2.0784,41,No,No,0
351,Male,2000,HSCI,2.53305,88,Yes,No,1
352,Male,2004,EDUC,2.66295,79,Yes,Yes,0
353,Male,2005,APSC,2.74955,16,Yes,No,1
354,Male,2006,ARTS,3.26915,91,Yes,Yes,0
355,Male,2002,HSCI,2.74955,102,Yes,No,1
356,Male,2006,BUS,2.87945,42,Yes,No,0
357,Male,2000,ARTS,2.881615,48,Yes,No,0
358,Male,1991,ENV,2.881615,4,No,No,1
359,Male,1994,BUS,2.881615,0,Yes,Yes,0
360,Male,1998,BUS,3.464,66,Yes,No,1
361,Male,2006,EDUC,3.031,111,Yes,No,0
362,Male,2005,EDUC,3.1609,23,Yes,No,1
363,Male,2004,APSC,2.4248,28,Yes,No,0
364,Male,2002,BUS,3.031,14,Yes,Yes,0
365,Male,2005,ARTS,2.9444,3,Yes,No,0
366,Male,2003,BUS,2.881615,43,Yes,Yes,0
367,Male,2003,ARTS,2.9444,64,Yes,Yes,0
368,Male,2005,BUS,2.9011,112,Yes,No,0
369,Male,2005,EDUC,2.6413,119,Yes,Yes,0
370,Male,2006,ARTS,2.9877,78,Yes,No,1
371,Male,1974,SCI,3.464,87,No,No,0
372,Male,1993,ENV,2.8145,115,No,Yes,0
373,Male,2005,EDUC,3.48565,30,Yes,Yes,0
374,Male,1989,ENV,3.031,19,No,No,0
375,Male,1993,BUS,2.881615,9,Yes,No,1
376,Male,1982,SCI,2.881615,10,No,No,0
377,Male,1990,APSC,2.8145,81,Yes,No,1
378,Male,2006,ARTS,3.2908,97,Yes,Yes,0
379,Male,2006,EDUC,2.70625,27,Yes,Yes,0
380,Male,2003,BUS,3.031,37,Yes,No,0
381,Male,1998,ARTS,2.881615,79,Yes,Yes,1
382,Male,2004,ARTS,3.6805,23,Yes,No,0
383,Male,2005,SCI,2.92275,38,Yes,No,0
384,Male,2005,EDUC,2.70625,118,Yes,Yes,0
385,Male,2004,APSC,3.031,50,Yes,No,0
386,Male,2005,SCI,2.6846,75,Yes,No,0
387,Male,2006,EDUC,3.031,49,Yes,No,0
388,Male,1996,ENV,2.8145,105,No,No,0
389,Male,2002,EDUC,2.9011,6,Yes,No,0
390,Male,2003,SCI,3.464,99,No,Yes,0
391,Male,2003,BUS,3.031,80,Yes,No,0
392,Male,1998,ARTS,3.2475,112,Yes,No,0
393,Male,2006,EDUC,3.05265,67,Yes,No,1
394,Male,2004,BUS,2.598,52,Yes,No,1
395,Male,2006,BUS,3.5939,36,Yes,No,0
396,Male,2005,ARTS,3.18255,96,Yes,Yes,0
397,Male,2004,SCI,2.61965,82,Yes,No,0
398,Male,2002,BUS,3.2475,53,Yes,Yes,0
399,Male,2006,FCAT,2.6846,89,Yes,No,1
400,Male,2005,APSC,2.0784,54,Yes,No,1
401,Male,2006,ARTS,2.70625,74,Yes,Yes,0
402,Male,2004,HSCI,2.9444,30,Yes,No,0
403,Male,2005,EDUC,2.598,64,Yes,No,0
404,Male,2005,HSCI,2.7712,103,Yes,No,0
405,Male,2005,ARTS,3.0743,99,Yes,No,0
406,Male,2006,APSC,2.92275,92,Yes,No,0
407,Male,2003,ARTS,2.598,88,Yes,No,0
408,Male,1997,ENV,3.031,58,No,No,0
409,Male,2005,SCI,2.92275,117,Yes,No,0
410,Male,1999,BUS,2.881615,46,Yes,No,1
411,Male,2006,ARTS,2.96605,48,Yes,Yes,0
412,Male,2000,ARTS,2.6413,17,Yes,No,0
413,Male,2004,ARTS,2.7712,2,Yes,No,0
414,Male,1998,ENV,3.031,17,No,No,0
415,Male,2004,SCI,2.8578,57,Yes,Yes,0
416,Male,2006,BUS,2.83615,70,Yes,No,0
417,Male,2005,BUS,2.7279,91,Yes,No,0
418,Male,2001,EDUC,2.881615,80,Yes,No,1
419,Male,2006,ARTS,2.9444,24,Yes,Yes,0
420,Male,2006,ARTS,3.031,17,Yes,No,1
421,Male,2005,ARTS,2.92275,51,Yes,Yes,0
422,Male,1994,ENV,3.464,103,No,No,0
423,Male,1995,BUS,3.031,42,Yes,No,1
424,Male,2005,ARTS,3.031,66,Yes,No,0
425,Male,2004,HSCI,2.48975,88,Yes,No,0
426,Male,2004,ARTS,3.1176,6,Yes,No,0
427,Male,2005,FCAT,2.7712,110,Yes,No,0
428,Male,2004,APSC,2.5114,73,Yes,No,0
429,Male,2003,BUS,2.92275,43,Yes,No,1
430,Male,2005,FCAT,2.61965,43,Yes,No,0
431,Male,2006,ARTS,2.9011,50,Yes,Yes,0
432,Male,1997,SCI,2.598,82,No,Yes,0
433,Male,2005,APSC,2.70625,78,Yes,Yes,0
434,Male,2005,ARTS,3.05265,84,Yes,Yes,1
435,Male,2005,EDUC,3.031,20,Yes,No,0
436,Male,2006,ARTS,3.1176,36,Yes,Yes,0
437,Male,2004,HSCI,2.6413,27,Yes,Yes,0
438,Male,2006,FCAT,2.8145,108,Yes,Yes,0
439,Male,2005,FCAT,2.881615,31,Yes,No,1
440,Male,1988,ARTS,2.881615,56,Yes,No,0
441,Male,2006,HSCI,3.18255,40,Yes,No,0
442,Male,2006,ENV,2.74955,53,Yes,No,0
443,Male,2005,ARTS,2.9444,26,Yes,No,0
444,Male,2006,ARTS,2.74955,86,Yes,Yes,0
445,Male,2006,FCAT,2.66295,73,Yes,No,0
446,Male,2005,SCI,2.7712,39,Yes,Yes,0
447,Male,2005,ARTS,2.7712,40,Yes,Yes,0
448,Male,2006,ARTS,3.031,69,Yes,No,1
449,Male,2004,EDUC,2.61965,23,Yes,No,0
450,Male,2004,HSCI,2.6413,17,Yes,Yes,0
451,Male,2004,ARTS,2.7279,73,Yes,No,0
452,Male,2006,ARTS,2.92275,55,Yes,Yes,0
453,Male,2006,ARTS,2.83615,14,Yes,No,0
454,Male,2005,BUS,3.031,108,Yes,No,0
455,Male,2005,APSC,2.83615,106,Yes,No,0
456,Male,1980,SCI,2.8145,97,No,No,0
457,Male,1992,BUS,2.8145,71,Yes,No,1
458,Male,2002,EDUC,3.031,113,Yes,No,1
459,Male,1988,BUS,2.8145,34,Yes,No,0
460,Male,2006,EDUC,2.70625,118,Yes,Yes,0
461,Male,2004,ENV,3.464,26,Yes,No,0
462,Male,2004,ARTS,2.8145,88,Yes,Yes,0
463,Male,2005,SCI,3.1176,2,Yes,No,0
464,Male,2000,APSC,2.881615,20,Yes,No,0
465,Male,2004,SCI,3.2042,38,Yes,No,0
466,Male,1997,SCI,2.881615,31,No,No,1
467,Male,2004,EDUC,2.87945,49,Yes,No,0
468,Male,2001,SCI,2.79285,116,Yes,Yes,0
469,Male,2006,ARTS,3.1176,84,Yes,Yes,0
470,Male,2006,SCI,2.598,8,Yes,Yes,0
471,Male,2004,ARTS,3.1176,49,Yes,Yes,0
472,Male,2004,HSCI,2.8578,0,Yes,Yes,0
473,Male,2001,FCAT,3.0743,3,Yes,No,1
474,Male,2004,ARTS,2.9444,3,Yes,No,0
475,Male,1996,HSCI,2.881615,112,Yes,No,1
476,Male,2003,FCAT,2.6413,89,Yes,No,0
477,Male,2003,HSCI,2.881615,118,Yes,No,1
478,Male,1996,ARTS,3.031,33,Yes,No,1
479,Male,2006,ARTS,2.53305,26,Yes,No,0
480,Male,2003,SCI,2.7712,14,Yes,Yes,0
481,Male,2005,ARTS,2.9444,108,Yes,No,0
482,Male,2006,ARTS,3.05265,31,Yes,Yes,0
483,Male,2005,ARTS,2.8145,40,Yes,No,1
484,Male,2004,BUS,3.031,70,Yes,No,0
485,Male,2004,ARTS,2.2083,60,Yes,Yes,0
486,Male,2006,EDUC,2.7279,62,Yes,Yes,0
487,Male,2004,FCAT,2.70625,60,Yes,No,1
488,Male,1993,FCAT,2.598,107,Yes,No,1
489,Male,2005,ARTS,2.8578,107,Yes,Yes,0
490,Male,2005,ARTS,2.7712,13,Yes,Yes,0
491,Male,2001,ARTS,2.48975,22,Yes,No,0
492,Male,2005,FCAT,2.70625,110,Yes,No,0
493,Male,2004,ARTS,2.96605,64,Yes,No,0
494,Male,2002,BUS,2.18665,31,Yes,No,0
495,Male,2006,EDUC,2.7279,40,Yes,No,0
496,Male,1997,ENV,2.8145,25,Yes,No,1
497,Male,1995,HSCI,2.165,47,Yes,No,1
498,Male,2006,HSCI,2.6413,72,Yes,No,0
499,Male,2006,ARTS,2.7279,15,Yes,No,0
500,Male,2006,ARTS,2.7712,30,Yes,No,0
